size,block_x,block_y,grid_x,grid_y,threads_per_block,time_seconds,gflops
200,8,8,25,25,64,0.0031285,5.11427
200,16,16,13,13,256,0.0004732,33.8123
200,32,16,7,13,512,0.000391,40.9207
200,32,32,7,7,1024,0.0004501,35.5477
400,8,8,50,50,64,0.0019201,66.6632
400,16,16,25,25,256,0.0020431,62.6499
400,32,16,13,25,512,0.0020554,62.275
400,32,32,13,13,1024,0.0023829,53.7161
800,8,8,100,100,64,0.0138219,74.0853
800,16,16,50,50,256,0.0140678,72.7903
800,32,16,25,50,512,0.0498357,20.5475
800,32,32,25,25,1024,0.108757,9.41549
1200,8,8,150,150,64,0.229903,15.0324
1200,16,16,75,75,256,0.212677,16.25
1200,32,16,38,75,512,0.351873,9.82173
1200,32,32,38,38,1024,0.223,15.4978
1600,8,8,200,200,64,0.272023,30.1151
1600,16,16,100,100,256,0.413482,19.8123
1600,32,16,50,100,512,0.403495,20.3026
1600,32,32,50,50,1024,0.37995,21.5608
2000,8,8,250,250,64,0.476701,33.564
2000,16,16,125,125,256,0.407067,39.3056
2000,32,16,63,125,512,0.494036,32.3863
2000,32,32,63,63,1024,0.564301,28.3537
