size,processes,time_sec,total_elements,mult_ops
200,1,0.0419138,40000,16000000
400,1,0.275468,160000,128000000
800,1,2.30621,640000,1024000000
1200,1,9.68488,1440000,3456000000
1600,1,64.562,2560000,8192000000
2000,1,54.1613,4000000,16000000000
200,2,0.0189036,40000,16000000
400,2,0.139449,160000,128000000
800,2,1.19844,640000,1024000000
1200,2,5.19797,1440000,3456000000
1600,2,16.5778,2560000,8192000000
2000,2,50.4076,4000000,16000000000
200,4,0.0172261,40000,16000000
400,4,0.0735741,160000,128000000
800,4,0.771078,640000,1024000000
1200,4,2.78349,1440000,3456000000
1600,4,6.8758,2560000,8192000000
2000,4,14.0679,4000000,16000000000
200,8,0.0100214,40000,16000000
400,8,0.0538988,160000,128000000
800,8,0.486916,640000,1024000000
1200,8,2.74304,1440000,3456000000
1600,8,6.493,2560000,8192000000
2000,8,9.39585,4000000,16000000000
