size,threads,method,total_elements,operations,time_seconds
200,1,Статический,40000,16000000,0.0356316
200,1,Динамический,40000,16000000,0.0387767
200,1,Оптимизированный,40000,16000000,0.0358233
200,2,Статический,40000,16000000,0.0371117
200,2,Динамический,40000,16000000,0.0341861
200,2,Оптимизированный,40000,16000000,0.0346485
200,4,Статический,40000,16000000,0.0347394
200,4,Динамический,40000,16000000,0.0354553
200,4,Оптимизированный,40000,16000000,0.0352151
200,8,Статический,40000,16000000,0.0372628
200,8,Динамический,40000,16000000,0.0367242
200,8,Оптимизированный,40000,16000000,0.0381136
400,1,Статический,160000,128000000,0.274929
400,1,Динамический,160000,128000000,0.280435
400,1,Оптимизированный,160000,128000000,0.273072
400,2,Статический,160000,128000000,0.270424
400,2,Динамический,160000,128000000,0.270245
400,2,Оптимизированный,160000,128000000,0.266009
400,4,Статический,160000,128000000,0.2683
400,4,Динамический,160000,128000000,0.277616
400,4,Оптимизированный,160000,128000000,0.269714
400,8,Статический,160000,128000000,0.27042
400,8,Динамический,160000,128000000,0.270507
400,8,Оптимизированный,160000,128000000,0.270287
800,1,Статический,640000,1024000000,2.37726
800,1,Динамический,640000,1024000000,2.37659
800,1,Оптимизированный,640000,1024000000,2.49085
800,2,Статический,640000,1024000000,2.44648
800,2,Динамический,640000,1024000000,2.37875
800,2,Оптимизированный,640000,1024000000,2.39547
800,4,Статический,640000,1024000000,2.35444
800,4,Динамический,640000,1024000000,2.39286
800,4,Оптимизированный,640000,1024000000,2.49105
800,8,Статический,640000,1024000000,2.34082
800,8,Динамический,640000,1024000000,2.31891
800,8,Оптимизированный,640000,1024000000,2.37067
1200,1,Статический,1440000,3456000000,10.0128
1200,1,Динамический,1440000,3456000000,25.4851
1200,1,Оптимизированный,1440000,3456000000,22.0057
1200,2,Статический,1440000,3456000000,21.3541
1200,2,Динамический,1440000,3456000000,21.1295
1200,2,Оптимизированный,1440000,3456000000,21.8038
1200,4,Статический,1440000,3456000000,21.7664
1200,4,Динамический,1440000,3456000000,21.9365
1200,4,Оптимизированный,1440000,3456000000,16.3512
1200,8,Статический,1440000,3456000000,21.0649
1200,8,Динамический,1440000,3456000000,14.0854
1200,8,Оптимизированный,1440000,3456000000,21.973
1600,1,Статический,2560000,8192000000,49.0812
1600,1,Динамический,2560000,8192000000,65.87
1600,1,Оптимизированный,2560000,8192000000,51.0031
1600,2,Статический,2560000,8192000000,51.296
1600,2,Динамический,2560000,8192000000,821.745
1600,2,Оптимизированный,2560000,8192000000,27.0606
1600,4,Статический,2560000,8192000000,27.0412
1600,4,Динамический,2560000,8192000000,26.5087
1600,4,Оптимизированный,2560000,8192000000,39.726
1600,8,Статический,2560000,8192000000,51.4878
1600,8,Динамический,2560000,8192000000,32.1604
1600,8,Оптимизированный,2560000,8192000000,27.4978
2000,1,Статический,4000000,16000000000,98.322
2000,1,Динамический,4000000,16000000000,82.9209
2000,1,Оптимизированный,4000000,16000000000,111.19
2000,2,Статический,4000000,16000000000,106.566
2000,2,Динамический,4000000,16000000000,64.9909
2000,2,Оптимизированный,4000000,16000000000,58.7351
2000,4,Статический,4000000,16000000000,58.3179
2000,4,Динамический,4000000,16000000000,56.9108
2000,4,Оптимизированный,4000000,16000000000,56.5896
2000,8,Статический,4000000,16000000000,55.9131
2000,8,Динамический,4000000,16000000000,84.7998
2000,8,Оптимизированный,4000000,16000000000,111.453
